candidate,trial_number,repeat,average_precision,roc_auc,f1_threshold,f1_accuracy,f1_precision,f1_recall,f1_f1,f1_specificity,f1_false_positive_rate,f1_balanced_accuracy,f1_mcc,f1_tn,f1_fp,f1_fn,f1_tp,safety_threshold,safety_accuracy,safety_precision,safety_recall,safety_f1,safety_specificity,safety_false_positive_rate,safety_balanced_accuracy,safety_mcc,safety_tn,safety_fp,safety_fn,safety_tp
optuna_trial_46,46,1,0.5809807215088583,0.6665689009500624,-1.037031956730205,0.5206106870229008,0.4409090909090909,0.8542074363992173,0.5816122584943371,0.3072590738423029,0.6927409261576971,0.58073325512076,0.1833047471486981,491,1107,149,873,-0.7228223167645653,0.6461832061068702,0.548618219037871,0.5244618395303327,0.5362681340670336,0.7240300375469336,0.2759699624530663,0.6242459385386332,0.25064553269984263,1157,441,486,536
optuna_trial_46,46,2,0.5871130638893831,0.6679937495254586,-1.0730517567129425,0.5026717557251908,0.43338074917022285,0.8943248532289628,0.5838390290641967,0.2521902377972466,0.7478097622027534,0.5732575455131047,0.18036300179623568,403,1195,108,914,-0.7459812451728192,0.6362595419847328,0.5336585365853659,0.5352250489236791,0.5344406448461163,0.7008760951188986,0.29912390488110135,0.6180505720212888,0.23597698635217015,1120,478,475,547
optuna_trial_46,46,3,0.5842927219926306,0.6698221112986145,-1.1484933041399437,0.4767175572519084,0.42383238760366654,0.9500978473581213,0.5861756715967401,0.1739674593241552,0.8260325406758448,0.5620326533411383,0.18262225254112519,278,1320,51,971,-0.7569469595413492,0.6404580152671756,0.5385356454720617,0.5469667318982387,0.5427184466019418,0.700250312891114,0.2997496871088861,0.6236085223946763,0.24654166785233608,1119,479,463,559
optuna_trial_23,23,1,0.5832563069149945,0.6662774407343817,-1.166586674044882,0.467175572519084,0.41974248927038627,0.9569471624266145,0.5835322195704057,0.1539424280350438,0.8460575719649562,0.5554447952308291,0.17239618677984025,246,1352,44,978,-0.7427871901188627,0.6400763358778626,0.5405960945529291,0.5146771037181996,0.5273182957393484,0.7202753441802253,0.27972465581977474,0.6174762239492124,0.23718684039991808,1151,447,496,526
optuna_trial_23,23,2,0.5897463081195431,0.6714937213591353,-1.0640451453500066,0.5114503816793893,0.43809980806142035,0.8933463796477495,0.587894397939472,0.2672090112640801,0.7327909887359199,0.5802776954559148,0.19413662510655574,427,1171,109,913,-0.7621209203681486,0.6362595419847328,0.5336585365853659,0.5352250489236791,0.5344406448461163,0.7008760951188986,0.29912390488110135,0.6180505720212888,0.23597698635217015,1120,478,475,547
optuna_trial_23,23,3,0.5857387265825864,0.6690548851426318,-1.111992351173291,0.49274809160305344,0.4306371441482151,0.9324853228962818,0.5891808346213292,0.21151439299123906,0.7884856070087609,0.5719998579437604,0.19390435312717716,338,1260,69,953,-0.7621799973488742,0.6377862595419848,0.5365365365365365,0.5244618395303327,0.5304304799604156,0.7102628285356696,0.2897371714643304,0.6173623340330011,0.23572102311819151,1135,463,486,536
optuna_trial_31,31,1,0.5800513024772078,0.6671897846868272,-1.2271157524580625,0.47442748091603054,0.4232598357111976,0.9579256360078278,0.5871064467766117,0.16520650813516896,0.8347934918648311,0.5615660720714983,0.1867360952859887,264,1334,43,979,-0.7452516035991389,0.6385496183206106,0.5363020329138432,0.5420743639921722,0.5391727493917275,0.700250312891114,0.2997496871088861,0.6211623384416431,0.24186490360164323,1119,479,468,554
optuna_trial_31,31,2,0.5877354355833427,0.6715880173112673,-1.039874916564407,0.5435114503816794,0.453525641025641,0.8307240704500979,0.5867311679336559,0.3598247809762203,0.6401752190237797,0.595274425713159,0.20578629567135912,575,1023,173,849,-0.7316484155697505,0.6354961832061069,0.5326829268292683,0.5342465753424658,0.5334636052760137,0.700250312891114,0.2997496871088861,0.6172484441167898,0.23437357416761484,1119,479,476,546
optuna_trial_31,31,3,0.5850323933826687,0.6683574624836819,-1.1108062600478363,0.5133587786259542,0.43915343915343913,0.8933463796477495,0.5888423089326024,0.27033792240300375,0.7296620775969962,0.5818421510253766,0.1972399978295626,432,1166,109,913,-0.733146457014993,0.6362595419847328,0.5336585365853659,0.5352250489236791,0.5344406448461163,0.7008760951188986,0.29912390488110135,0.6180505720212888,0.23597698635217015,1120,478,475,547
optuna_trial_35,35,1,0.5702951874785667,0.6698508899333561,-1.1028133526006998,0.49809160305343514,0.4313817330210773,0.901174168297456,0.5834653151726322,0.24030037546933666,0.7596996245306633,0.5707372718833963,0.177673365348224,384,1214,101,921,-0.3424841359543184,0.649236641221374,0.5498547918683446,0.5557729941291585,0.5527980535279805,0.7090112640801002,0.2909887359198999,0.6323921291046293,0.2642818713748263,1133,465,454,568
optuna_trial_35,35,2,0.5851374497692259,0.6706560793947424,-1.057218408356944,0.5064885496183206,0.4346987951807229,0.8825831702544031,0.5824991927671941,0.26595744680851063,0.7340425531914894,0.5742703085314569,0.17850556394609832,425,1173,120,902,-0.38044911750680016,0.6393129770992366,0.537270087124879,0.5430528375733855,0.5401459854014599,0.7008760951188986,0.29912390488110135,0.6219644663461421,0.24346611558544204,1120,478,467,555
optuna_trial_35,35,3,0.5958571451598663,0.6755435488097892,-0.9963586098905598,0.5282442748091603,0.4453524004085802,0.8532289628180039,0.5852348993288591,0.32040050062578224,0.6795994993742178,0.586814731721893,0.1948955486598389,512,1086,150,872,-0.3714859247009082,0.6404580152671756,0.5385356454720617,0.5469667318982387,0.5427184466019418,0.700250312891114,0.2997496871088861,0.6236085223946763,0.24654166785233608,1119,479,463,559
optuna_trial_33,33,1,0.5781225750169656,0.6650215900991698,-1.1574594452152118,0.4862595419847328,0.4273542600896861,0.9324853228962818,0.5861008610086101,0.20087609511889862,0.7991239048811014,0.5666807090075903,0.182750807665297,321,1277,69,953,-0.6516453239328177,0.6389312977099236,0.5383838383838384,0.5215264187866928,0.5298210735586482,0.714017521902378,0.285982478097622,0.6177719703445355,0.23695963514808982,1141,457,489,533
optuna_trial_33,33,2,0.5858993411421555,0.6701399009035267,-1.1450353546514167,0.49312977099236643,0.430327868852459,0.9246575342465754,0.5873213175885643,0.21714643304130163,0.7828535669586983,0.5709019836439385,0.18780325734402728,347,1251,77,945,-0.6507105014591194,0.632824427480916,0.5296442687747036,0.5244618395303327,0.5270403146509341,0.7021276595744681,0.2978723404255319,0.6132947495524004,0.22699711432214145,1122,476,486,536
optuna_trial_33,33,3,0.5800799527237754,0.6662866254050439,-1.157204668763542,0.48778625954198473,0.4281221922731357,0.9324853228962818,0.5868226600985221,0.20337922403003755,0.7966207759699625,0.5679322734631597,0.1853998119643434,325,1273,69,953,-0.6556520751390439,0.6377862595419848,0.5365365365365365,0.5244618395303327,0.5304304799604156,0.7102628285356696,0.2897371714643304,0.6173623340330011,0.23572102311819151,1135,463,486,536
optuna_trial_20,20,1,0.5716599111649208,0.6701833750113277,-0.973989492219218,0.5255725190839695,0.4440506329113924,0.8581213307240705,0.5852519185852519,0.31289111389236546,0.6871088861076345,0.5855062223082179,0.19363245124613235,500,1098,145,877,-0.22229142980543087,0.6396946564885496,0.5386904761904762,0.5313111545988258,0.5349753694581281,0.7090112640801002,0.2909887359198999,0.6201612093394631,0.2409324721381391,1133,465,479,543
optuna_trial_20,20,2,0.5831893768180219,0.6756353955164112,-1.0162316969253957,0.5259541984732824,0.44527363184079605,0.87573385518591,0.5903693931398417,0.302252816020025,0.6977471839799749,0.5889933356029675,0.205417940124277,483,1115,127,895,-0.24940130500954474,0.6438931297709923,0.5430784123910939,0.5489236790606654,0.545985401459854,0.704630788485607,0.295369211514393,0.6267772337731362,0.25307338748823477,1126,472,461,561
optuna_trial_20,20,3,0.5768880706180198,0.6752612732647708,-0.960495862289013,0.5377862595419848,0.4518593988792664,0.8679060665362035,0.5943048576214406,0.32665832290362956,0.6733416770963705,0.5972821947199165,0.21894465950125824,522,1076,135,887,-0.2398795495559185,0.6408396946564886,0.5403788634097707,0.5303326810176126,0.5353086419753087,0.7115143929912391,0.28848560700876097,0.6209235370044258,0.24268849941535164,1137,461,480,542
v1_baseline,v1,1,0.5574955481242223,0.6633095674877354,-0.4999898061062334,0.5557251908396946,0.460989010989011,0.8209393346379648,0.5904292751583392,0.386107634543179,0.613892365456821,0.6035234845905719,0.21928151620896155,617,981,183,839,0.14256120731889027,0.6309160305343512,0.5274177467597209,0.5176125244618396,0.5224691358024691,0.7033792240300375,0.29662077596996245,0.6104958742459385,0.22176061482019632,1124,474,493,529
v1_baseline,v1,2,0.5792025553313751,0.673756824210302,-0.5920580262922035,0.5438931297709924,0.45411140583554377,0.837573385518591,0.5889232886136911,0.35607008760951186,0.6439299123904881,0.5968217365640514,0.21024097017939009,569,1029,166,856,0.07107860031879384,0.6366412213740458,0.5345849802371542,0.5293542074363993,0.5319567354965585,0.7052565707133918,0.29474342928660824,0.6173053890748955,0.23503282296521183,1127,471,481,541
v1_baseline,v1,3,0.5652016153057372,0.6676808584115663,-0.678403070914632,0.5240458015267175,0.4435524335173106,0.8649706457925636,0.5864013266998341,0.30600750938673343,0.6939924906132666,0.5854890775896485,0.1954641172253415,489,1109,138,884,0.12018995781181181,0.6312977099236641,0.5276679841897233,0.5225048923679061,0.5250737463126843,0.7008760951188986,0.29912390488110135,0.6116904937434023,0.2237828308649133,1120,478,488,534
